INFO:root:         3089015 function calls (3068914 primitive calls) in 7.022 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     3000    0.008    0.000    0.075    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/numpy/lib/function_base.py:1628(extract)
      500    0.029    0.000    0.066    0.000 {method 'choice' of 'numpy.random.mtrand.RandomState' objects}
     1797    0.019    0.000    0.064    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/numpy/lib/npyio.py:1074(<listcomp>)
     4502    0.020    0.000    0.057    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/numpy/core/_methods.py:134(_mean)
   746115    0.052    0.000    0.052    0.000 {method 'append' of 'list' objects}
   112613    0.025    0.000    0.047    0.000 {built-in method builtins.isinstance}
   116805    0.036    0.000    0.045    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/numpy/lib/npyio.py:777(floatconv)
     9013    0.042    0.000    0.042    0.000 {method 'replace' of 'str' objects}
     6005    0.012    0.000    0.041    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/sklearn/utils/validation.py:131(_num_samples)
     2502    0.002    0.000    0.040    0.000 {method 'mean' of 'numpy.ndarray' objects}
     7000    0.004    0.000    0.036    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/numpy/core/fromnumeric.py:55(_wrapfunc)
     1500    0.002    0.000    0.036    0.000 <__array_function__ internals>:2(norm)
     9012    0.028    0.000    0.035    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/inspect.py:2750(__init__)
     4506    0.013    0.000    0.033    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/inspect.py:1799(_signature_bound_method)
     1500    0.018    0.000    0.032    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/numpy/linalg/linalg.py:2325(norm)
     1500    0.003    0.000    0.031    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/numpy/core/numerictypes.py:602(find_common_type)
   144195    0.029    0.000    0.029    0.000 {built-in method builtins.min}
     1002    0.002    0.000    0.029    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/numpy/core/_internal.py:291(__init__)
     6000    0.006    0.000    0.028    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/warnings.py:165(simplefilter)
    82614    0.026    0.000    0.027    0.000 {method 'join' of 'str' objects}
     3000    0.002    0.000    0.026    0.000 <__array_function__ internals>:2(nonzero)
     1002    0.005    0.000    0.026    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/numpy/core/_internal.py:274(_get_void_ptr)
     3000    0.019    0.000    0.025    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/numpy/core/numerictypes.py:578(_can_coerce_all)
     7000    0.010    0.000    0.025    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/numpy/core/numerictypes.py:365(issubdtype)
     7510    0.015    0.000    0.025    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/inspect.py:2467(__init__)
334516/334515    0.024    0.000    0.024    0.000 {built-in method builtins.len}
    66554    0.023    0.000    0.023    0.000 {built-in method builtins.hasattr}
     3000    0.002    0.000    0.023    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/numpy/core/fromnumeric.py:1759(nonzero)
   196778    0.022    0.000    0.022    0.000 {method 'lstrip' of 'str' objects}
     9006    0.003    0.000    0.022    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/abc.py:137(__instancecheck__)
     6000    0.003    0.000    0.022    0.000 <__array_function__ internals>:2(ravel)
     6000    0.012    0.000    0.021    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/warnings.py:181(_add_filter)
